DATE;FP14;TSE10;TSE11;TSE12;TSE13;SCE10;SCE11;SCE12
20140103;74766;2773;2773;7020;4442;13100;1367;21204
20140106;39405;3417;3417;7294;6388;11971;457;19363
20140107;29120;3530;3530;8356;5713;11447;1228;18400
20140108;26169;2805;2805;6545;4894;11079;193;18719
20140109;34714;3746;3746;8202;6146;9125;332;16487
20140110;29197;4868;4868;13205;6454;9649;414;16696
20140113;36801;6746;6746;20390;8209;11351;512;18149
20140114;28503;6912;6912;11486;12162;10378;569;18386
20140115;27180;3214;3214;7133;5308;10461;786;18449
20140116;25587;3355;3355;8381;5628;11295;679;20565
20140117;25160;3539;3539;7430;5149;11181;717;19985
20140120;33983;2632;2632;6323;4956;11760;940;20340
20140121;24043;2744;2744;6929;4391;13082;982;24273
20140122;24800;3723;3723;9402;5703;12907;749;24562
20140123;34563;3428;3428;7701;5325;13379;748;23917
20140124;43855;3288;3288;7963;5445;12619;878;21753
20140127;52038;3267;3267;7704;5477;13176;827;21327
20140128;52455;2926;2926;7118;4567;10889;705;18967
20140129;35388;4246;4246;7966;6797;11419;338;18333
20140130;36117;3269;3269;7253;5929;11600;371;17870
20140131;49957;3664;3664;8102;5935;12347;340;18796
20140203;53614;3302;3302;7072;5026;11006;473;16573
20140204;37146;11156;11156;18764;21500;9053;350;13715
20140205;36698;8159;8159;16167;11233;12012;995;17802
20140206;37034;15703;15703;33782;19839;12039;909;23640
20140207;39467;5287;5287;8922;9206;11485;954;23184
20140210;47209;6993;6993;14490;11559;11769;1052;23403
20140211;23536;5238;5238;13876;7401;10387;803;21811
20140212;21417;2784;2784;6042;4849;16846;2947;31102
20140213;23561;3294;3294;7647;4983;16819;738;32999
20140214;26293;5353;5353;13851;7544;16143;1041;30274
20140217;30746;2984;2984;6798;5010;15409;906;29283
20140218;21912;2592;2592;5990;4489;14659;1038;29683
20140219;21822;3818;3818;8145;5580;15919;935;30639
20140220;25081;3836;3836;10499;5673;19726;1064;38495
20140221;24118;3363;3363;8511;4868;18989;907;36710
20140224;39115;2880;2880;6521;4850;19862;1829;36809
20140225;36464;2403;2403;5745;3895;15989;1144;30589
20140226;28389;2859;2859;6681;4508;20464;768;36231
20140227;40709;4729;4729;11908;6897;34422;900;63371
20140228;59692;4677;4677;11812;7301;34799;799;64645
20140303;63555;3734;3734;9022;5534;35246;690;65724
20140304;39489;2845;2845;6409;4928;29802;653;53546
20140305;30694;3813;3813;9218;6187;20980;670;36657
20140306;26290;4839;4839;11986;6783;32747;773;60531
20140307;41752;8786;8786;12780;11591;33143;842;61360
20140310;39518;2754;2754;5731;4794;33639;887;61269
20140311;30182;2315;2315;5202;4053;28032;602;49389
20140312;22336;2506;2506;6283;3807;23886;597;39780
20140313;21695;2976;2976;6620;4768;24072;774;40150
20140314;33457;3724;3724;9260;5799;23542;721;39375
20140317;36628;5193;5193;11184;8226;22881;785;38738
20140318;22966;2780;2780;6424;4914;19775;482;33649
20140319;24744;2333;2333;5462;3415;20532;434;34791
20140320;25002;2878;2878;6092;4735;17518;415;31514
20140321;27625;5196;5196;8776;9156;18706;344;32237
20140324;39611;2471;2471;6089;4155;21660;2368;33007
20140325;42204;2482;2482;5673;3990;23767;10162;35630
20140326;77715;4288;4288;9331;6295;28985;17800;36911
20140327;38272;2089;2089;4899;3272;23760;4962;38353
20140328;43399;2651;2651;5940;3831;20243;2368;31115
20140331;98191;5678;5678;10155;10696;18768;840;29172
20140401;45904;4592;4592;8110;8519;17819;658;27698
20140402;43215;12864;12864;23080;25256;18233;352;26218
20140403;33668;9120;9120;18164;12772;18487;951;27092
20140404;32136;7571;7571;16848;11661;27134;1073;38636
20140407;48940;3658;3658;9735;5435;28474;975;41937
20140408;27499;3920;3920;9327;5792;30690;963;44462
20140409;33683;6611;6611;9828;12804;31314;417;48545
20140410;26408;2724;2724;7087;4582;25259;495;43017
20140411;39427;18587;18587;23279;35624;26380;1534;42263
20140414;39572;3825;3825;8425;6909;39916;1496;66010
20140415;27458;2587;2587;5820;4351;39260;1453;63283
20140416;31888;2168;2168;5110;3575;44097;1356;73794
20140417;38387;3119;3119;8533;4888;38448;1205;64070
20140422;50255;2441;2441;6077;4182;28986;1181;44934
20140423;23701;1925;1925;4648;3035;22733;950;37455
20140424;31449;3169;3169;9347;4414;22854;1198;36159
20140425;44981;2671;2671;5526;4551;22348;713;35602
20140428;42152;1980;1980;4620;3400;24607;665;37638
20140429;38350;2539;2539;6232;4409;29239;568;44733
20140430;55075;3424;3424;8905;5307;29529;1087;47046
20140502;64728;9566;9566;16613;17605;32586;2211;51770
20140505;46321;2851;2851;5580;4803;33523;1905;48811
20140506;30771;5112;5112;9601;9417;31877;1382;45220
20140507;32618;3130;3130;6551;5106;34727;2764;49544
20140508;42165;2515;2515;5644;4247;27503;2145;46008
20140509;23770;2009;2009;4576;3183;19294;2796;35671
20140512;31985;1921;1921;5220;3349;26641;2709;43047
20140513;25268;3895;3895;10451;5384;33346;2743;52835
20140514;23147;2882;2882;6146;4875;41721;6491;62869
20140515;34570;2755;2755;7440;4409;39386;4622;58535
20140516;28940;3481;3481;9165;5759;30439;5532;50512
20140519;32151;2811;2811;7339;4863;29887;6941;50810
20140520;24476;2095;2095;5198;3429;37607;6071;64341
20140521;24670;2574;2574;5747;4275;40279;5736;66500
20140522;28011;3475;3475;8267;4939;36435;5827;61578
20140523;45994;2376;2376;5376;3945;36187;5795;57275
20140526;44017;6558;6558;13851;10430;25905;5335;42980
20140527;28578;2238;2238;5634;3762;25499;5065;41624
20140528;42218;4887;4887;13199;6866;26256;5162;44085
20140530;63600;3643;3643;7822;6198;27801;5770;44783
20140602;54983;3221;3221;7556;5008;26355;5484;45476
20140603;32414;2943;2943;6989;4749;24855;5071;44935
20140604;29791;2871;2871;6471;4538;26431;5177;46514
20140605;26432;2799;2799;5604;4949;26892;3776;45319
20140606;37625;4024;4024;12047;5497;26615;6568;44242
20140610;45317;3472;3472;6947;5953;26273;6057;44764
20140611;26652;3040;3040;6455;4943;22518;3015;36597
20140612;38032;16596;16596;19739;32303;21481;2937;38326
20140613;26522;3066;3066;6270;5113;20418;2749;36470
20140616;34049;2145;2145;5046;3621;21306;4985;35461
20140617;21226;2166;2166;5075;3494;17571;2890;30864
20140618;22256;2982;2982;8408;4140;22241;2643;37121
20140619;21627;2660;2660;6299;4185;23747;2517;45057
20140620;29007;3599;3599;8211;5388;22473;2794;41963
20140623;39750;2201;2201;5527;3760;20917;3225;36559
20140624;28350;2148;2148;5253;3758;21330;1982;33072
20140625;37609;2465;2465;5305;3776;19588;1823;34459
20140626;72546;2196;2196;4783;3470;27749;4064;47855
20140627;46335;1950;1950;4209;2971;25235;865;44155
20140630;107036;2252;2252;5373;3784;25020;1235;43813
20140701;54789;4048;4048;9819;6678;18959;769;31107
20140702;38407;8173;8173;16625;10272;20426;646;30779
20140703;40612;13536;13536;20739;25917;17671;340;25999
20140704;36881;13277;13277;19393;23943;18103;512;25627
20140707;46551;3641;3641;8342;6402;16354;562;25818
20140708;45858;23499;23499;38667;45671;18749;821;27108
20140709;23729;3773;3773;8177;6453;17761;1718;28108
20140710;27899;4125;4125;8545;7606;18565;773;29264
